"SHIP","SURVEY","EVENT_ID","STATION","GEAR","PARTITION","EQ_TIME","EQ_LATITUDE","EQ_LONGITUDE","HB_TIME","HB_LATITUDE","HB_LONGITUDE","HEAD_ROPE_DEPTH","NET_HEIGHT","HEAD_ROPE_TEMP","DOORSOUT","DO_LATITUDE","DO_LONGITUDE","AVG_NET_VERT_OPENING","AVG_NET_HORI_OPENING","AVG_HEAD_ROPE_DEPTH","AVG_TRAWL_WIRE_OUT","BOTTOM_DEPTH_END","BOTTOM_DEPTH_START","EVENT_TYPE","PERFORMANCE_CODE","COMMENTS"
135,202101,124,"31","CTD","Codend","09092021 16:00:07.057",62.9991,-165.9965,"",,,,,,"",,,,,,,,,51,0,""
135,202101,38,"9","Bongo/FastCat","Codend","09022021 00:36:11.187",60.4986,-166.9949,"",,,,,,"",,,,,,,27,27,11,0,""
135,202101,24,"6","Bongo/FastCat","Codend","09012021 01:13:40.048",60.5026,-169.9969,"",,,,,,"",,,,,,,50,50,11,0,""
135,202101,52,"12","3m Beam Trawl","Codend","09032021 00:49:44.196",61.0099,-169.0063,"09032021 00:54:48.848",61.0117,-169.0069,,,,"",,,,,,,37,37,3,0,""
135,202101,109,"27","Bongo/FastCat","Codend","09082021 00:30:27.685",62.4987,-168.9955,"",,,,,,"",,,,,,,31,31,11,0,""
135,202101,8,"3","CTD","Codend","08212017 00:28:12.157",59.9993,-169.9957,"",,,,,,"",,,,,,,,,51,0,""
135,202101,16,"4","Bongo/FastCat","Codend","08312021 16:25:54.657",60.0017,-171.0082,"",,,,,,"",,,,,,,68,68,11,0,""
135,202101,189,"47","3m Beam Trawl","Codend","09152021 01:11:35.558",63.8018,-163.5031,"09152021 01:16:40.241",63.8019,-163.5077,,,,"",,,,,,,15,15,3,0,""
135,202101,63,"15","CTD","Codend","09042021 02:42:18.261",61.499,-170.9936,"",,,,,,"",,,,,,,,,51,0,""
135,202101,160,"40","CTD","Codend","09122021 19:55:00.846",64.5,-168.001,"",,,,,,"",,,,,,,,,51,0,""
135,202101,108,"27","CTD","Codend","09082021 00:22:45.163",62.4998,-168.998,"",,,,,,"",,,,,,,,,51,0,""
135,202101,29,"7","Bongo/FastCat","Codend","09012021 16:15:52.084",60.4998,-168.9997,"",,,,,,"",,,,,,,38,38,11,0,""
135,202101,53,"12","CanTrawl","Codend","09032021 01:22:32.639",61.0247,-169.0165,"09032021 01:52:58.372",61.0122,-169.0751,,18.9,,"",,,18.9,50.05,,330,37,37,50,0,""
135,202101,161,"40","Bongo/FastCat","Codend","09122021 20:03:47.272",64.5019,-168.0009,"",,,,,,"",,,,,,,35,35,11,0,""
135,202101,128,"32","CTD","Codend","09092021 20:19:35.740",63.4994,-165.9995,"",,,,,,"",,,,,,,,,51,0,""
135,202101,138,"34","3m Beam Trawl","Codend","09102021 16:15:04.497",63.4911,-168.0115,"09102021 16:20:09.244",63.4901,-168.015,,,,"",,,,,,,32,32,3,0,""
135,202101,142,"35","3m Beam Trawl","Codend","09102021 21:36:41.501",63.9968,-169.0048,"09102021 21:41:47.058",63.995,-169.0072,,,,"",,,,,,,34,34,3,0,""
135,202101,90,"22","CanTrawl","Codend","09062021 16:52:01.487",61.9953,-169.0215,"09062021 17:22:27.318",61.9894,-169.0887,,21.47,,"",,,21.47,48.92,,330,37,37,50,0,""
135,202101,185,"46","CTD","Codend","09142021 20:33:35.514",64.1004,-162.499,"",,,,,,"",,,,,,,,,51,0,""
135,202101,94,"23","3m Beam Trawl","Codend","09062021 21:10:09.058",61.9892,-169.9994,"09062021 21:10:09.058",61.9892,-169.9994,,,,"",,,,,,,44,44,3,0,"not a valid event"
135,202101,21,"5","CanTrawl","Codend","08312021 21:17:22.612",60.5071,-170.9639,"08312021 21:47:48.592",60.5135,-170.9012,,22.36,,"",,,22.36,45.68,,330,62,62,50,0,""
135,202101,103,"25","CanTrawl","Codend","09072021 16:56:22.224",62.5101,-170.9937,"09072021 17:26:47.704",62.5321,-170.9294,,20.68,,"09072021 16:49:28.184",62.5025,-171.0062,20.68,45.1,,330,44,44,50,0,""
135,202101,187,"46","3m Beam Trawl","Codend","09142021 20:45:33.240",64.1023,-162.4928,"09142021 20:50:38.017",64.1028,-162.4883,,,,"",,,,,,,20,20,3,0,""
135,202101,19,"5","Benthic Grab","Codend","08312021 20:47:25.638",60.5011,-170.9986,"",,,,,,"",,,,,,,62,62,56,0,""
135,202101,80,"20","CTD","Codend","09052021 21:01:01.200",62.0006,-166.9998,"",,,,,,"",,,,,,,,,51,0,""
135,202101,47,"11","Bongo/FastCat","Codend","09022021 20:39:04.289",61.0028,-168.0077,"",,,,,,"",,,,,,,29,29,11,6,"odd data at bottom of cast again.  Not good data."
135,202101,39,"9","3m Beam Trawl","Codend","09022021 00:46:12.923",60.5007,-166.9993,"09022021 00:51:17.373",60.5021,-167.0015,,,,"",,,,,,,27,27,3,0,""
135,202101,163,"40","CanTrawl","Codend","09122021 20:41:38.336",64.4888,-167.9962,"09122021 21:12:07.561",64.4602,-168.0103,,22.1,,"",,,22.1,50.4,,330,35,35,50,0,""
135,202101,194,"50","CTD","Codend","09152021 18:07:22.076",64.4985,-167.5017,"",,,,,,"",,,,,,,,,51,0,""
135,202101,164,"41","CTD","Codend","09132021 00:36:13.004",63.999,-167.9993,"",,,,,,"",,,,,,,,,51,0,""
135,202101,40,"9","CanTrawl","Codend","09022021 01:20:30.286",60.5281,-166.9901,"09022021 01:50:55.938",60.5649,-166.9853,,20.56,,"",,,20.56,52.15,,330,27,27,50,0,""
135,202101,56,"13","Bongo/FastCat","Codend","09032021 16:53:00.378",60.9978,-169.9922,"",,,,,,"",,,,,,,46,46,11,0,""
135,202101,141,"35","Bongo/FastCat","Codend","09102021 21:28:21.205",63.9993,-169.0015,"",,,,,,"",,,,,,,34,34,11,0,""
135,202101,175,"43","CanTrawl","Codend","09132021 20:53:35.486",63.9992,-165.9558,"09132021 21:24:08.010",63.9872,-165.8895,,17.83,,"",,,17.83,52.55,,330,21,21,50,0,""
135,202101,84,"21","Bongo/FastCat","Codend","09062021 00:58:16.211",62.0016,-168.0068,"",,,,,,"",,,,,,,27,27,11,0,""
135,202101,46,"11","Benthic Grab","Codend","09022021 20:34:22.336",61.0019,-168.0025,"",,,,,,"",,,,,,,29,29,56,0,""
135,202101,153,"38","Bongo/FastCat","Codend","09112021 21:06:04.136",65.0039,-167.5026,"",,,,,,"",,,,,,,26,26,11,0,""
135,202101,197,"51","3m Beam Trawl","Codend","09152021 19:35:25.505",64.3696,-167.3373,"09152021 19:40:30.235",64.3712,-167.3398,,,,"",,,,,,,30,30,3,0,""
